,age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,previous,poutcome,deposit
0,59,admin.,married,secondary,no,2343,yes,no,unknown,may,1042,1,0,unknown,yes
1,56,admin.,married,secondary,no,45,no,no,unknown,may,1467,1,0,unknown,yes
2,41,technician,married,secondary,no,1270,yes,no,unknown,may,1389,1,0,unknown,yes
3,55,services,married,secondary,no,2476,yes,no,unknown,may,579,1,0,unknown,yes
4,54,admin.,married,tertiary,no,184,no,no,unknown,may,673,2,0,unknown,yes
5,42,management,single,tertiary,no,0,yes,yes,unknown,may,562,2,0,unknown,yes
6,56,management,married,tertiary,no,830,yes,yes,unknown,may,1201,1,0,unknown,yes
7,60,retired,divorced,secondary,no,545,yes,no,unknown,may,1030,1,0,unknown,yes
8,37,technician,married,secondary,no,1,yes,no,unknown,may,608,1,0,unknown,yes
9,28,services,single,secondary,no,5090,yes,no,unknown,may,1297,3,0,unknown,yes
10,38,admin.,single,secondary,no,100,yes,no,unknown,may,786,1,0,unknown,yes
11,30,blue-collar,married,secondary,no,309,yes,no,unknown,may,1574,2,0,unknown,yes
12,29,management,married,tertiary,no,199,yes,yes,unknown,may,1689,4,0,unknown,yes
13,46,blue-collar,single,tertiary,no,460,yes,no,unknown,may,1102,2,0,unknown,yes
14,31,technician,single,tertiary,no,703,yes,no,unknown,may,943,2,0,unknown,yes
15,35,management,divorced,tertiary,no,3837,yes,no,unknown,may,1084,1,0,unknown,yes
16,32,blue-collar,single,primary,no,611,yes,no,unknown,may,541,3,0,unknown,yes
17,49,services,married,secondary,no,-8,yes,no,unknown,may,1119,1,0,unknown,yes
18,41,admin.,married,secondary,no,55,yes,no,unknown,may,1120,2,0,unknown,yes
19,49,admin.,divorced,secondary,no,168,yes,yes,unknown,may,513,1,0,unknown,yes
20,28,admin.,divorced,secondary,no,785,yes,no,unknown,may,442,2,0,unknown,yes
21,43,management,single,tertiary,no,2067,yes,no,unknown,may,756,1,0,unknown,yes
22,43,management,divorced,tertiary,no,388,yes,no,unknown,may,2087,2,0,unknown,yes
23,43,blue-collar,married,primary,no,-192,yes,no,unknown,may,1120,2,0,unknown,yes
24,37,unemployed,single,secondary,no,381,yes,no,unknown,may,985,2,0,unknown,yes
25,35,blue-collar,single,secondary,no,40,yes,no,unknown,may,617,4,0,unknown,yes
26,31,technician,single,tertiary,no,22,yes,no,unknown,may,483,3,0,unknown,yes
27,43,blue-collar,single,secondary,no,3,yes,no,unknown,may,929,3,0,unknown,yes
28,31,admin.,married,secondary,no,307,yes,no,unknown,may,538,1,0,unknown,yes
