age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,previous,poutcome,deposit
45,admin.,married,secondary,no,1018,no,no,unknown,jun,77,1,0,unknown,no
57,retired,married,secondary,no,602,no,no,cellular,jan,230,1,0,unknown,no
29,blue-collar,married,secondary,no,2850,yes,no,cellular,jul,1020,1,0,unknown,yes
46,blue-collar,married,primary,no,500,no,no,cellular,aug,98,3,0,unknown,no
32,technician,married,tertiary,no,7987,no,no,cellular,nov,106,1,3,failure,no
32,technician,single,tertiary,no,686,no,no,cellular,aug,234,4,0,unknown,no
40,management,married,tertiary,no,350,yes,no,cellular,may,799,2,6,other,no
41,admin.,married,secondary,no,-70,no,no,cellular,nov,199,1,0,unknown,no
34,blue-collar,married,secondary,no,-312,yes,no,cellular,jul,264,1,0,unknown,no
38,technician,married,tertiary,no,102,no,no,cellular,aug,204,4,0,unknown,no
31,technician,single,secondary,no,1185,yes,no,cellular,apr,184,3,0,unknown,no
32,management,married,tertiary,no,262,no,no,cellular,jan,455,2,0,unknown,no
69,retired,married,secondary,no,20958,yes,no,cellular,apr,318,2,0,unknown,no
47,management,married,tertiary,no,363,yes,no,cellular,jul,119,5,0,unknown,no
34,retired,married,primary,no,4456,no,no,unknown,may,1683,1,0,unknown,yes
53,unknown,married,primary,no,710,no,no,cellular,oct,784,2,0,unknown,yes
51,management,married,tertiary,no,1235,no,no,cellular,aug,38,4,0,unknown,no
33,management,married,tertiary,no,508,no,no,cellular,feb,334,3,2,failure,yes
49,blue-collar,married,secondary,no,896,yes,no,cellular,aug,151,5,0,unknown,no
26,services,single,secondary,no,36,yes,no,cellular,mar,189,2,8,other,no
46,admin.,married,secondary,no,1324,no,no,telephone,jan,118,2,0,unknown,no
52,management,married,tertiary,no,6780,no,no,cellular,feb,231,1,0,unknown,yes
36,blue-collar,married,primary,no,-1,yes,no,cellular,jul,170,13,0,unknown,no
37,admin.,single,secondary,no,1273,no,no,cellular,jul,87,9,0,unknown,no
39,services,single,secondary,no,601,yes,no,cellular,may,1258,3,0,unknown,yes
48,blue-collar,married,primary,no,5374,yes,no,unknown,may,268,3,0,unknown,no
42,technician,married,secondary,no,1594,yes,no,unknown,may,1409,1,0,unknown,yes
47,admin.,married,unknown,no,3760,no,no,cellular,aug,68,10,0,unknown,no
59,management,divorced,secondary,no,203,no,no,cellular,aug,573,3,0,unknown,yes
26,services,married,secondary,no,177,no,no,cellular,jul,131,6,0,unknown,no
37,services,single,primary,no,-43,no,yes,cellular,feb,147,6,5,other,no
